Blog	four	looking	second	here	music	until	example	want	how	re	service	needed	project	saying	best	never	asked	much	life	worked	things	had	has	right	old	people	support	happy	inside	time	team	love	working	awesome	such	data	so	years	course	didn	internet	million	city	future	san	say	note	take	going	where	many	wants	photos	single	being	around	world	power	favorite	her	am	having	original	tv	th	small	past	full	experience	social	via	company	learn	states	sense	huge	its	always	found	week	really	obama	also	play	set	see	available	community	recent	person	couple	d	continue	by	anything	clinton	into	link	line	up	us	ago	try	video	let	great	makes	tools	next	process	high	could	start	system	should	means	stuff	email	co	ve	site	off	less	web	become	doing	problem	worth	told	word	work	after	then	them	they	network	another	do	away	com	easy	photo	thanks	night	gawker	post	months	way	update	together	change	live	car	write	remember	still	now	year	space	shows	care	ways	than	form	online	america	only	between	article	comes	these	taking	media	real	read	early	using	business	your	lot	trying	month	very	family	ask	takes	american	help	actually	since	issue	reason	put	pretty	during	x	won	probably	both	else	look	while	user	game	some	doesn	e	go	does	facebook	following	started	control	links	including	him	keep	powerful	need	able	based	she	well	page	twitter	home	he	friends	amp	likely	even	new	tips	ever	call	type	tell	give	amazing	answer	president	before	personal	better	went	side	content	isn	matter	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	super	down	drive	daily	finally	did	run	step	making	may	man	talk	nbsp	group	interesting	within	morning	earlier	thing	think	first	fast	little	anyone	hillary	were	especially	show	get	enough	reading	according	mark	those	different	pay	same	speech	money	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	understand	fun	itself	open	big	bit	google	often	back	either	click	access	others	ll	day	announced	almost	thought	add	smart	like	works	buy	starting	under	every	voice	would	must	me	my	times	end	writers	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	news	been	everything	hear	check	no	when	focus	cool	level	posts	says	goes	today	trump	information	happened	name	turn	place	view	any	ideas	sure	later	outside	come	case	myself	someone	without	seems	blog	there	all	far	list	design	what	version	short	might	number	party	used	health	friday	feel	story	kind	nothing	his	hit	wrote	art	recently	creating	c	became	due	questions	question	long	called	users	once	issues	apple	app	use	few	something	instead	articles	related	our	out	york	their	which	who	why	words	stories	job	last	will	gets	point	other	know	because	getting	own	apps	made	book	june
Eschaton	1	0	0	1	0	0	0	3	4	1	0	1	0	1	1	1	0	1	1	0	2	0	2	1	0	11	2	3	0	5	0	0	2	1	0	0	3	1	2	1	0	1	0	0	1	1	0	3	3	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	2	1	0	0	0	0	0	0	0	2	0	3	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	2	0	1	5	2	1	0	0	0	0	1	2	0	0	1	0	0	3	0	1	0	1	5	18	0	0	6	3	0	1	0	0	3	0	0	1	4	0	0	0	1	0	0	0	3	2	1	0	0	1	0	3	0	0	0	1	0	0	0	2	2	0	1	0	1	2	0	2	2	0	0	4	0	0	2	0	0	2	0	0	2	0	3	1	0	0	2	1	0	0	0	0	0	6	3	0	2	2	0	0	0	0	0	0	5	1	0	3	2	0	0	3	0	0	0	12	0	0	0	2	0	0	0	1	1	0	1	0	0	2	0	0	2	0	0	0	5	0	7	4	0	1	0	0	1	0	0	0	6	4	0	5	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	1	2	1	0	2	3	0	0	3	0	1	2	1	4	4	0	0	0	0	6	0	0	0	0	5	1	0	0	4	0	0	0	0	0	0	2	0	1	2	0	0	0	2	0	1	3	0	0	0	0	1	5	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	3	1	2	2	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	6	0	0	1	0	0	1	1	0	0	4	4	0	0	0	4	0	0	3	0	7	0	0	2	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	3	1	0	0	1	0	0	1	4	0	0	0	0	0	4	0	1	2	5	1	0	0	0	1	4	2	3	1	2	3	2	1	0	0	0	0
ShoeMoney	0	2	0	13	0	1	0	2	6	0	0	0	0	0	4	1	1	5	0	2	1	6	6	0	1	4	0	6	0	8	2	1	1	2	1	0	18	10	1	3	4	1	0	0	0	4	0	1	4	4	3	0	1	0	5	1	1	0	1	2	13	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	2	2	0	0	2	0	5	1	1	2	1	1	0	2	1	1	0	7	2	0	4	1	0	7	10	6	0	3	1	5	0	0	2	0	0	1	2	0	1	0	1	7	2	0	0	0	0	0	0	3	0	0	3	0	0	3	9	2	14	7	0	8	0	2	0	0	0	2	0	3	0	1	0	4	0	13	0	0	1	0	7	5	3	0	2	0	1	0	2	0	2	0	0	0	2	1	2	1	2	0	0	2	7	4	0	0	5	1	1	1	0	1	3	2	0	0	3	5	4	0	0	1	1	0	3	2	0	1	5	0	0	9	1	5	0	6	0	0	0	4	1	0	0	0	0	4	4	3	0	0	18	5	0	0	1	5	0	3	0	0	4	3	2	1	0	0	0	0	1	0	1	1	1	9	1	0	2	0	2	0	0	0	1	7	2	0	5	0	2	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	1	1	11	0	0	1	0	3	0	21	5	1	1	0	0	0	1	2	1	0	6	0	0	0	2	0	0	1	0	1	1	5	1	1	1	0	5	0	0	0	4	0	2	0	0	0	0	0	0	4	4	2	7	0	4	0	5	1	1	0	1	0	0	3	0	0	6	0	1	1	0	2	0	7	0	14	33	1	0	0	4	1	2	5	0	3	1	0	0	0	3	1	0	0	0	4	0	1	6	2	9	0	0	0	2	0	1	17	0	0	0	2	0	0	0	3	0	0	0	0	8	0	0	0	0	0	3	4	12	1	1	0	6	0	5	0	0	0	0	1	0	0	2	2	0	6	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	2	0	0	0	4	9	0	7	1	5	3	0	1	0	1	2	1	1	6	7	0	1	4	0	0	1	0
Slashdot	2	1	0	0	0	0	0	0	2	3	2	0	1	0	1	1	1	0	1	0	2	2	24	3	6	4	7	1	0	4	1	0	1	0	1	8	5	1	0	0	5	3	0	2	2	1	1	2	2	5	4	1	5	0	1	2	6	2	0	0	0	0	1	0	0	0	0	1	0	1	3	3	0	5	1	2	11	0	2	1	0	2	6	0	2	2	0	0	2	1	0	0	1	10	0	0	7	0	1	1	0	0	0	1	2	0	2	0	1	2	0	4	0	4	3	0	0	10	0	2	0	1	0	1	0	0	1	0	1	0	2	4	2	1	12	1	2	6	0	0	0	1	0	1	0	5	1	1	2	0	0	0	0	0	0	3	5	6	0	0	0	1	3	0	0	0	2	5	3	0	6	0	0	1	17	1	5	1	10	0	2	1	1	0	3	0	0	3	1	2	1	0	0	0	1	2	2	0	2	0	0	1	5	0	3	2	3	0	1	4	0	1	0	0	5	0	3	1	1	1	1	0	3	0	4	0	7	0	0	0	0	8	0	0	0	1	0	1	0	0	0	2	0	0	1	0	3	1	0	4	0	0	1	0	4	0	1	2	3	8	1	1	1	0	0	1	0	2	0	2	0	1	2	0	0	2	0	0	0	0	1	0	0	2	1	1	3	0	0	1	0	4	0	0	2	0	1	4	2	0	0	0	1	0	1	0	1	0	1	0	2	1	0	0	2	0	0	1	0	0	1	0	0	0	4	0	1	0	0	2	0	0	0	2	1	0	8	0	1	1	0	4	0	0	1	4	1	0	0	0	5	1	0	0	3	5	0	7	0	1	0	1	3	0	3	0	1	0	5	0	1	3	1	0	0	0	1	0	0	7	0	0	0	7	5	0	0	0	0	2	0	0	0	6	0	0	1	0	0	3	0	0	3	0	0	1	0	0	1	0	3	4	8	1	1	0	5	4	1	0	1	5	2	0	2	1	15	2	0	1	0	2	0	1	0	1	0	3	0	0	2	2	7	0	0	12	6	4	1	1	0	0	1	5	4	2	9	10	5	3	0	1	0	0	13	0	0	6	1	0	2	0	0	0	0	2
Matt Cutts: Gadgets, Google, and SEO	0	0	0	1	0	0	1	0	0	2	2	0	2	0	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	1	0	0	1	1	0	0	0	4	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	2	0	0	5	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	3	0	0	0	0	1	3	1	0	2	0	1	0	0	0	2	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	8	0	1	0	0	0	0	0	3	1	0	0	0	1	4	0	0	0	0	1	0	1	0	2	7	1	1	0	1	0	1	0	0	1	2	0	0	1	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
Gothamist	3	0	3	9	1	0	0	0	4	4	4	0	0	1	2	4	0	1	3	1	0	8	10	1	5	2	0	0	1	2	0	3	0	0	1	0	3	3	2	1	3	1	5	0	0	2	0	0	2	5	1	1	4	0	6	1	2	1	0	3	0	0	0	0	1	0	2	0	0	0	0	2	0	2	0	0	0	2	2	2	1	8	5	1	1	0	0	1	0	0	0	0	1	15	2	3	5	0	1	15	6	0	0	7	4	3	1	0	1	0	4	2	2	2	1	1	1	1	1	1	2	2	1	0	3	0	0	0	0	0	4	6	0	0	6	0	2	1	4	0	0	0	4	10	0	4	1	5	0	0	1	1	1	0	1	4	5	8	0	0	2	0	3	0	4	0	3	5	0	0	3	1	0	3	0	5	0	0	4	0	0	1	2	2	2	0	0	0	1	5	0	0	1	2	1	1	0	0	2	0	1	3	0	0	2	0	0	2	0	5	1	0	0	3	0	6	2	0	1	5	0	2	1	0	4	4	16	0	0	1	3	16	0	1	0	0	2	0	0	0	6	4	0	1	0	3	0	0	1	5	5	0	0	2	1	3	0	4	0	8	3	4	4	0	0	2	1	2	1	0	2	3	2	0	3	2	7	0	5	2	0	0	8	1	2	0	3	0	1	1	3	5	1	4	8	2	0	3	1	3	0	0	1	0	1	0	0	1	1	0	6	0	2	1	3	3	1	2	0	1	1	1	3	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	3	6	1	1	0	0	0	5	2	0	0	0	0	0	4	0	2	6	1	2	0	3	1	0	4	2	0	1	2	4	0	0	0	1	1	2	6	1	0	1	4	5	0	2	1	0	1	1	4	6	0	0	0	0	3	0	2	1	2	0	1	2	0	0	0	0	0	0	4	9	1	0	0	3	0	1	0	2	0	0	3	2	0	1	0	1	13	2	1	0	1	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	8	5	6	6	8	4	0	3	1	9	6	1	1	4	3	4	0	1	0	1	0	3
BuzzMachine	1	0	1	1	0	0	0	1	0	1	0	0	0	2	1	0	0	2	0	0	0	1	3	0	0	0	0	0	0	1	0	1	2	0	0	2	4	2	0	0	0	2	0	0	0	1	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	3	0	0	0	0	4	1	0	1	1	0	3	0	0	1	0	0	0	0	1	1	0	2	0	0	2	0	0	0	2	0	0	3	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	2	1	2	1	2	0	2	3	0	3	0	0	0	2	2	0	0	0	0	1	0	1	0	0	1	0	6	1	0	0	0	2	2	0	1	0	1	0	0	0	0	0	2	0	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	3	0	1	1	1	3	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	3	0	0	0	0	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1	0	1	0	3	0	0	5	0	0	3	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	3	6	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	3	1	0	1	2	1	2	0	1	2	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	2	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	7	2	0	0	0	2	3	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	7	1	0	2	0	0	0	0	0	0	2	0	1	3	0	0	0	1	0	1	0	0	0	0	2	2	1	0	0	0	0	0	1	2	0	2	0	7	2	1	2	0	2	1	0	0	1	3	3	0	2	0	1	0	1	0	0	0	0	0
Techdirt.	5	3	9	18	3	3	6	4	30	17	15	1	2	8	5	2	3	19	4	1	21	26	47	8	4	20	12	2	4	25	7	2	1	3	14	19	50	17	8	8	50	2	4	6	2	8	4	15	10	9	18	5	0	2	16	10	1	3	1	4	1	10	4	0	5	6	8	4	2	4	8	11	4	3	3	2	57	6	16	12	21	5	41	10	2	7	4	2	2	5	2	3	4	82	2	2	27	3	5	17	25	11	2	3	1	8	10	1	3	20	5	33	3	13	17	3	5	29	0	17	12	11	5	9	2	3	2	0	2	3	19	19	21	22	54	3	12	20	9	3	5	0	1	2	8	24	2	16	1	1	2	1	10	3	1	13	25	4	0	2	2	2	35	2	7	2	23	16	3	5	12	8	3	4	4	2	13	6	11	1	4	3	17	2	2	4	7	3	14	10	14	8	5	4	8	2	5	4	23	1	7	12	7	5	33	10	3	5	21	0	7	1	19	5	8	2	9	0	10	3	11	0	10	1	1	18	16	0	0	6	26	25	0	6	2	6	2	1	0	1	4	12	0	9	1	7	24	5	15	14	4	3	11	5	11	18	1	8	6	45	16	1	35	3	10	7	0	8	0	5	2	15	4	5	7	16	3	2	3	1	5	3	0	2	12	12	27	0	10	6	1	36	4	5	11	5	2	5	1	19	16	8	23	10	15	13	12	3	12	5	14	3	0	3	5	19	2	7	1	2	7	5	14	3	18	8	5	2	5	6	5	3	20	10	14	4	27	6	17	7	0	9	10	7	1	2	7	3	0	4	26	9	1	2	10	9	1	33	8	4	3	16	5	0	50	1	5	7	25	2	4	3	1	10	5	5	5	1	3	21	1	0	2	39	26	2	3	4	1	9	6	3	0	14	2	5	6	5	2	36	1	5	3	0	4	36	0	5	11	6	4	43	61	4	4	2	27	2	3	8	8	6	14	2	0	2	27	3	6	12	1	8	2	2	3	2	1	2	5	11	10	5	16	8	8	2	5	84	4	8	9	2	4	33	50	7	49	36	32	11	5	1	3	6	34	5	22	31	6	24	9	10	1	13	8	2
PerezHilton	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	0	0	1	2	0	0	0	1	0	3	2	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	1	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	1	2	1	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	1	0	0	2	2	0	1	2	1	0	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	4	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	4	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	3	5	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Gawker	1	0	0	4	0	2	1	0	0	3	2	0	0	0	0	0	2	1	1	0	1	0	6	4	1	3	0	0	1	10	0	0	0	0	1	0	2	0	0	0	0	2	2	0	0	1	3	0	1	1	0	3	0	2	0	0	0	0	1	5	0	1	0	0	0	4	0	1	0	0	0	3	0	1	0	2	1	0	2	3	1	0	1	1	0	0	0	0	0	2	0	4	3	5	0	2	0	1	0	4	4	0	1	0	0	0	0	0	0	1	0	0	0	2	3	1	0	5	0	0	1	2	0	0	0	0	1	1	2	2	1	2	0	6	1	0	1	2	1	4	0	2	1	0	12	1	1	0	0	0	1	0	3	1	0	0	3	1	0	0	0	0	3	0	0	1	4	1	0	0	0	0	5	1	26	0	0	1	2	1	0	2	3	0	0	0	1	0	2	0	0	0	2	1	0	0	0	3	1	1	0	0	1	2	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	2	0	1	1	0	2	0	0	0	1	3	4	0	2	0	3	0	0	2	1	2	0	1	0	0	0	0	1	4	2	0	0	0	0	2	0	2	4	6	1	0	1	0	0	2	0	2	2	3	0	0	1	0	1	3	3	0	0	3	0	2	0	2	0	1	0	0	2	0	5	2	0	0	1	0	2	1	0	0	1	2	1	0	0	1	0	2	5	0	2	0	0	0	1	0	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	3	0	0	0	1	0	2	2	0	0	0	1	1	1	0	0	0	1	1	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	6	6	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	4	2	1	0	0	4	0	0	2	0	2	0	2	0	0	0	0	0	8	1	1	1	1	0	0	0	2	2	0	0	0	0	1	0	0	0	1	1	0	1	0	1	6	1	1	0	2	4	0	1	2	0	2	7	0	0	0	2	1	0	1	0	1	1	0
ongoing by Tim Bray	0	0	0	2	0	0	0	0	2	8	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	1	1	0	1	0	0	2	1	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	3	2	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	2	1	4	0	1	2	1	4	2	1	0	0	0	1	0	2	0	0	1	0	0	0	0	1	2	2	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	2	0	0	2	0	1	1	0	2	0	2	0	0	1	0	0	3	2	0	0	2	3	2	0	0	4	1	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	1	0	1	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	1	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	3	0	1	1	0	1	0	0	1	4	0	2	0	1	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	9	2	0	0	1	0	0	1	1	0	2	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	5	2	0	0	0	3	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	2	1	0	2	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0
